Organization Name,Industries,Food and Restaurant Dummy,High Tech Dummy,Headquarters Regions,Founded Date,Founded Year,Founders,Number of Investors,Patents Granted,Trademarks Registered,Total Funding Amount,Number of Funding Rounds,Closed Dummy,Number of Events,Number of Articles,Diversity Spotlight Dummy,Page Views / Visit,Announced Date,Headquarters Location,Close Date,Organization Name.1,America Dummy,Asia Dummy,Middle East Dummy,Financing for entrepreneurs,Governmental support and policies,Taxes and bureaucracy,Governmental programs,Basic school entrepreneurial education and training,Post school entrepreneurial education and training,R&D transfer,Commercial and professional infrastructure,Internal market dynamics,Internal market openness,Physical and services infrastructure,Cultural and social norms,Founders_Cleaned,Repeat_Founder
Regal30A,Real Estate,0,0,"East Coast, Southern US",2015,2015,—,1,0,0,10000000,1,1,0,0,0,—,—,"Santa Rosa Beach, Florida, United States",2015,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,[],0
The Sky Guys,"Aerospace, Consulting, Drones, Information Technology, Software",0,1,Great Lakes,2015,2015,"Adam Sax, Tom Hanson",2,0,0,"CA$4,500,000",3,1,1,2,0,—,—,"Oakville, Ontario, Canada",3/30/2015 0:00,Canada,0,0,0,3.63,4.7,5.27,5,4.18,5.32,4.3,6.32,3.77,4.95,6.9,5.87,"['Adam Sax', 'Tom Hanson']",0
Selfycart,"E-Commerce, Retail, Shopping",0,1,"San Francisco Bay Area, West Coast, Western US",2015,2015,"Erick Lee, Sahle Hashelit",4,0,0,1000000,1,1,1,1,0,—,—,"San Francisco, California, United States",4/17/2015 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Erick Lee', 'Sahle Hashelit']",0
Urology Diagnostics,"Biotechnology, Health Care, Health Diagnostics, Medical",0,1,"West Coast, Western US",2015,2015,—,1,0,0,100000,1,1,0,0,0,—,—,"Portland, Oregon, United States",6/25/2015 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,[],0
Vertice Pharma,"Biotechnology, Health Care, Manufacturing, Pharmaceutical",0,1,"Greater New York Area, East Coast, Northeastern US",2015,2015,Don DeGolyer,1,3,2,300000000,1,1,0,1,0,—,—,"New Providence, New Jersey, United States",12/22/2015 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Don DeGolyer'],0
Swapp,Social Media,0,0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015,2015,"Ivan Vujisic, Kashi Tahir",1,0,1,50000,1,1,0,0,0,—,—,"Amsterdam, Noord-Holland, The Netherlands",2016,Netherlands,0,0,0,4.27,5.38,5.78,5.83,4.93,5.65,5.22,5.88,4.92,6.08,7.35,5.8,"['Ivan Vujisic', 'Kashi Tahir']",0
Paaltao,"E-Commerce, Handmade, Marketplace",0,1,Asia-Pacific (APAC),2015,2015,"Arindam Dawn, Arpan Das",1,0,0,30000,1,1,1,0,0,—,—,"Kolkata, West Bengal, India",3/24/2016 0:00,India,0,1,0,4,5.52,4.03,4.53,4.12,5.12,4.3,4.95,5.63,4.77,6.08,5.45,"['Arindam Dawn', 'Arpan Das']",0
Echelon Creative,"E-Learning, Language Learning, Translation Service",0,1,"Greater New York Area, East Coast, Northeastern US",2015,2015,"Allan Zhang, Sam Mendelson",1,0,0,100000,1,1,0,0,0,—,—,"New York, New York, United States",3/30/2016 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Allan Zhang', 'Sam Mendelson']",0
Menlo Learn,"Consulting, Education, Tutoring",0,0,"Greater Boston Area, East Coast, New England",2015,2015,"Phil Yao, Yury Yakubchyk",1,0,0,18000,1,1,0,0,0,—,—,"Boston, Massachusetts, United States",7/1/2016 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Phil Yao', 'Yury Yakubchyk']",0
Stefan's Head,"Fashion, Mobile",0,0,"Greater New York Area, East Coast, Northeastern US",2015,2015,"Michael Kushner, Sathish Naadimuthu, Trey Sisson",2,0,0,330000,3,1,1,0,0,—,—,"New York, New York, United States",7/21/2016 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Michael Kushner', 'Sathish Naadimuthu', 'Trey Sisson']",0
